Species	Conserved	Matched	LongMatched	Orphan	Complex	ncRNA	Intergenic	Fragment
Acep	0	8680	466	806	40	198	7331	2844
Ador	0	8022	464	985	160	1508	4206	4315
Aech	0	8583	653	1221	144	1056	5822	4733
Aflo	0	6907	406	1221	109	1262	4602	7630
Amel	1411	6680	498	1396	203	2724	4193	5028
Bimp	0	8735	646	1093	119	669	3593	5873
Bter	1411	6637	618	625	111	752	3780	5506
Cbir	0	8425	497	2448	173	1616	3988	4659
Cflo	1411	7219	495	1633	108	686	4699	11100
Dmel	0	2886	63	10166	256	3272	3436	1849
Dqua	0	7904	433	5230	58	0	5226	14175
Hsal	1411	7244	534	1980	121	770	5048	9553
Lhum	0	8110	508	2030	132	1253	3856	3339
Mrot	0	7403	645	1825	285	1023	3119	6561
Nvit	1411	4101	279	6406	225	917	4429	6556
Pbar	0	7714	401	1712	111	1121	5238	4828
Pcan	1411	6462	63	7757	23	0	8047	4401
Pdom	1411	5575	16	4374	204	338	5970	1697
Sinv	0	8856	647	4442	131	794	5670	68297
Tcas	0	3728	132	7841	177	794	4456	2223
